key,value
window_title,lufus
log_window_title,Journal de lufus
about_window_title,À propos
settings_window_title,Paramètres
btn_copy_log,Copier dans le presse-papier
btn_save_log,Enregistrer le journal...
dlg_save_log_title,Enregistrer le journal
save_failed_title,Échec de l'enregistrement
save_failed_body,Impossible d'enregistrer le journal :
settings_label_language,Langue
settings_no_languages,Aucune langue trouvée
header_drive_properties,Propriétés du lecteur
header_format_options,Options de formatage
header_status,Statut
lbl_device,Périphérique
lbl_boot_selection,Sélection de démarrage
lbl_image_option,Option d'image
lbl_partition_scheme,Schéma de partition
lbl_target_system,Système de destination
lbl_volume_label,Nom du volume
lbl_file_system,Système de fichiers
lbl_flash_option,Option de flash
lbl_cluster_size,Taille d'unité d'allocation
combo_image_windows,Installation standard de Windows
combo_image_linux,Installation standard de Linux
combo_image_other,Toute installation (mode DD)
combo_image_format,Mode formatage uniquement
combo_partition_gpt,GPT
combo_partition_mbr,MBR
combo_target_uefi,UEFI (non CSM)
combo_target_bios,BIOS (ou UEFI-CSM)
combo_cluster_4096,4096 octets (Par défaut)
combo_cluster_8192,8192 octets
combo_badblocks_1pass,1 Passe
chk_quick_format,Formatage rapide
chk_extended_label,Créer un nom étendu
chk_bad_blocks,Vérifier les secteurs défectueux
chk_verify_hash,Vérifier la somme de contrôle SHA256
lbl_expected_hash,SHA256 attendu :
progress_verifying,Vérification de la somme de contrôle...
msgbox_verify_fail_title,Échec de la vérification
msgbox_verify_fail_body,La somme de contrôle SHA256 ne correspond pas ! Le fichier est peut-être corrompu.
msgbox_invalid_hash_title,Hachage invalide
msgbox_invalid_hash_body,Le hachage SHA256 fourni est invalide.
combo_flash_iso,Mode ISO
combo_flash_woe,Woe USB
combo_flash_ventoy,Ventoy
combo_flash_dd,DD
combo_flash_none,Aucun
btn_select,SÉLECTIONNER
btn_start,DÉMARRER
btn_cancel,ANNULER
tooltip_refresh,Actualiser les périphériques USB (Ctrl+R)
tooltip_download,Télécharger les mises à jour
tooltip_about,À propos
tooltip_settings,Paramètres
tooltip_log,Journal
status_ready,Prêt
status_scanning,Recherche de périphériques USB...
status_scan_failed,Échec de la recherche
status_flashing,Flashage en cours...
progress_preparing,Préparation...
progress_complete,Terminé ! 100%
progress_failed,Échec
progress_starting,Démarrage.. 10%
progress_unmounted,Lecteur démonté.. 20%
progress_formatted,Formatage du lecteur.. 60%
progress_label_changed,Nom changé.. 80%
progress_mount_done,Montage terminé.. Terminé ! 100%
msgbox_cancel_title,Annuler
msgbox_cancel_body,Êtes-vous sûr de vouloir annuler ?
msgbox_success_title,Succès
msgbox_success_body,Le lecteur USB a été flashé avec succès !
msgbox_error_title,Erreur
msgbox_error_body,Échec du flashage du lecteur USB.
msgbox_no_image_title,Pas d'image
msgbox_no_image_body,Veuillez d'abord sélectionner un fichier d'installation valide.
msgbox_no_device_title,Pas de périphérique
msgbox_no_device_body,Veuillez d'abord sélectionner un périphérique USB.
msgbox_usb_found_title,Nouveau périphérique USB trouvé
msgbox_usb_found_body,Périphérique USB trouvé
msgbox_no_devices_title,Aucun périphérique
msgbox_no_devices_body,"Aucun lecteur USB n'a été trouvé.
Veuillez connecter un lecteur et réessayer."
msgbox_scan_error_title,Erreur de recherche
msgbox_scan_error_body,Échec de la recherche de périphériques USB :
no_usb_found,Aucun périphérique USB trouvé
dlg_select_image_title,Sélectionner l'image disque
