key,value
window_title,lufus
log_window_title,lufus Логи
about_window_title,О программе
settings_window_title,Настройки
btn_copy_log,Скопировать логи в буфер обмена
btn_save_log,Сохранить логи…
dlg_save_log_title,Сохранить логи
save_failed_title,Не удалось сохранить
save_failed_body,Не удалось сохранить логи:
settings_label_language,Язык
settings_no_languages,Языки не найдены
header_drive_properties,Свойства диска
header_format_options,Свойства форматирования
header_status,Статус
lbl_device,Устройство
lbl_boot_selection,Загрузочный сектор
lbl_image_option,Свойства образа
lbl_partition_scheme,Схема разбиения на разделы
lbl_target_system,Целевая система
lbl_volume_label,Название тома
lbl_file_system,Файловая система
lbl_flash_option,Опции записи
lbl_cluster_size,Размер кластера
combo_image_windows,Стандартная установка Windows
combo_image_linux,Стандартная установка Linux
combo_image_other,Любая установка (режим DD)
combo_image_format,Режим "Только форматирование"
combo_partition_gpt,GPT
combo_partition_mbr,MBR
combo_target_uefi,UEFI (без CSM)
combo_target_bios,BIOS (или UEFI-CSM)
combo_cluster_4096,4096 байта (по умолчанию)
combo_cluster_8192,8192 байта
combo_badblocks_1pass,1 проход
chk_quick_format,Быстрое форматирование
chk_extended_label,Создание расширенных файлов меток и значков
chk_bad_blocks,Проверка устройства на плохие блоки
chk_verify_hash,Проверить контрольную сумму SHA256
lbl_expected_hash,Ожидаемый SHA256:
progress_verifying,Проверка контрольной суммы...
msgbox_verify_fail_title,Проверка не удалась
msgbox_verify_fail_body,Контрольная сумма SHA256 не совпадает! Файл может быть повреждён.
msgbox_invalid_hash_title,Неверный хеш
msgbox_invalid_hash_body,Указанный хеш SHA256 недействителен.
combo_flash_iso,Режим ISO
combo_flash_woe,Woe USB
combo_flash_ventoy,Ventoy
combo_flash_dd,DD
combo_flash_none,Нет
btn_select,ВЫБРАТЬ
btn_start,НАЧАТЬ
btn_cancel,ОТМЕНИТЬ
tooltip_refresh,Обновить список устройств (Ctrl+R)
tooltip_download,Скачать обновление
tooltip_about,О программе
tooltip_settings,Настройки
tooltip_log,Логи
status_ready,Готово
status_scanning,Проверка на наличие USB устройств…
status_scan_failed,Сканирование провалено
status_flashing,Запись…
progress_preparing,Подготовка…
progress_complete,Успешно! 100%
progress_failed,Провалено
progress_starting,Начало.. 10%
progress_unmounted,Размонтировка устройства.. 20%
progress_formatted,Форматирование устройства.. 60%
progress_label_changed,Изменение лейбла.. 80%
progress_mount_done,Монтирование завершено.. Завершено! 100%
msgbox_cancel_title,ОТМЕНИТЬ
msgbox_cancel_body,Вы уверены, что хотите отменить процесс?
msgbox_success_title,Успешно
msgbox_success_body,Успешно записаны данные на USB устройство!
msgbox_error_title,Ошибка
msgbox_error_body,Не удалось записать данные на USB устройство.
msgbox_no_image_title,Без образа
msgbox_no_image_body,Пожалуйста, выберите сначала правильный установочный носитель.
msgbox_no_device_title,Нет устройств
msgbox_no_device_body,Пожалуйста, выберите сначала USB устройство.
msgbox_usb_found_title,Обнаружено новое USB устройство
msgbox_usb_found_body,USB устройство найдено
msgbox_no_devices_title,Нет устройств
msgbox_no_devices_body,"USB устройства не были обнаружены.
Пожалуйста, подключите устройство."
msgbox_scan_error_title,Ошибка сканирования
msgbox_scan_error_body,Ошибка в ходе сканирования USB устройств:
no_usb_found,USB устройства не обнаружены.
dlg_select_image_title,Выберите образ для записи
dlg_select_image_filter,"Образы дисков (*.iso *.dmg *.img *.bin *.raw);;Все файлы (*)"
about_content,"Lufus - это программа для записи образов дисков, написанная на языке Python для Linux.
Вдохновлено оригинальным инструментом Rufus для Windows.
Версия: v1.0.0b1
GitHub: github.com/hog185/lufus"
about_subtitle,Инструмент для записи USB
btn_close,Закрыть
btn_ok,OK
combo_boot_default,installation_media.iso
tooltip_website,Сайт
settings_label_theme,Тема
input_hash_placeholder,Введите ожидаемый хеш SHA256 здесь...
combo_badblocks_2pass,2 прохода
combo_badblocks_3pass,3 прохода
status_unmounting_all,Размонтирование всех разделов на {device}...
status_unmounting,Размонтирование {part}...
status_format_starting,Запуск операции форматирования...
status_format_in_progress,Форматирование устройства...
status_format_complete,Форматирование завершено!
status_format_failed,Форматирование ПРОВАЛЕНО. Проверьте журнал выше для получения точной ошибки.
status_flash_error,Ошибка записи: {error}
acc_device,Выбор устройства
acc_device_desc,Выберите USB-устройство, которое хотите использовать
acc_refresh,Обновить устройства
acc_refresh_desc,Сканировать подключённые USB-устройства
acc_boot,Выбор загрузочного образа
acc_boot_desc,Показывает текущий выбранный файл образа
acc_select,Обзор файла образа
acc_image_option,Выбор параметра образа
acc_image_option_desc,Выберите тип образа для записи: Windows, Linux, Другое или Только форматирование
acc_volume_label,Поле ввода метки тома
acc_volume_label_desc,Введите имя для USB-тома
acc_filesystem,Выбор файловой системы
acc_cluster,Выбор размера кластера
acc_flash_option,Выбор метода записи
acc_quick_format,Флажок быстрого форматирования
acc_extended_label,Флажок создания расширенной метки
acc_bad_blocks,Флажок проверки на плохие блоки
acc_bad_blocks_passes,Выбор количества проходов проверки
acc_verify_hash,Флажок проверки контрольной суммы SHA256
acc_hash_input,Поле ввода ожидаемого хеша SHA256
acc_hash_input_desc,Вставьте сюда ожидаемый 64-символьный хеш SHA256
acc_progress,Индикатор выполнения операции
acc_start,Начать операцию
acc_cancel,Отменить операцию
acc_website,Открыть сайт Lufus
acc_about,О Lufus
acc_settings,Открыть настройки
acc_log,Открыть окно журнала
